Date,Close,High,Low,Open,Volume,RSI_14,EMA_12,EMA_26,Daily_Return,fng_value,Future_Close,Future_Return,ret_1,ret_5,rsi,close_ema12,close_ema26,ema_cross,vol_chg,volatility,fng,Signal
2020-02-14,10312.1162109375,10321.99609375,10125.5341796875,10211.55078125,43338264162,71.18267931289975,9921.658581101683,9463.92817978741,0.009568503349817403,63.0,9633.38671875,-0.06581864268244074,0.009568503349817403,0.019318838002778893,0.7118267931289975,0.03935406833889066,0.08962325316052255,0.04836579405704611,0.23268127153041948,0.021015132339532342,0.63,0
2020-02-15,9889.4248046875,10341.5556640625,9874.427734375,10313.8564453125,43865054831,59.11193740136407,9916.699538576424,9495.446448298528,-0.0409897830477971,64.0,9608.4755859375,-0.028409055561738287,-0.0409897830477971,0.0033290829343011197,0.5911193740136407,-0.0027503842163235648,0.041491293593632905,0.04436369501650761,0.213675542598931,0.02298236883245013,0.64,0
2020-02-16,9934.43359375,10053.96875,9722.38671875,9889.1796875,43374780305,59.891858669928105,9919.427854756974,9527.964014628265,0.004551203932625647,59.0,9686.44140625,-0.024962891458252645,0.004551203932625647,-0.02682174722196018,0.598918586699281,0.0015127625517059595,0.04266069629331959,0.041085780711146214,0.18186253802069643,0.02277572332234262,0.59,0
2020-02-17,9690.142578125,9938.8154296875,9507.6376953125,9936.560546875,45998298413,53.884134408289206,9884.153196813593,9539.97724155395,-0.024590331529186438,49.0,9663.181640625,-0.0027823055525377856,-0.024590331529186438,-0.06158325988189761,0.5388413440828921,-0.019628451201174957,0.015740638868294576,0.036077230222362866,0.22467781253206143,0.02420764302586761,0.49,1
2020-02-18,10141.99609375,10161.935546875,9632.3828125,9691.23046875,47271023953,61.56402387260953,9923.82133480381,9584.571230605508,0.0466302236506857,53.0,9924.515625,-0.02144355674560181,0.0466302236506857,-0.00708645947115194,0.6156402387260953,0.021984954342238128,0.05815856022484556,0.035395438777167776,0.22964787379201834,0.028493596064888684,0.53,0
2020-02-19,9633.38671875,10191.67578125,9611.2236328125,10143.798828125,46992019710,51.223446679837856,9879.139086180148,9588.187192690286,-0.05014884351152826,50.0,9650.1748046875,0.0017426982252071754,-0.05014884351152826,-0.06581864268244075,0.5122344667983786,-0.024875889010807617,0.004714084649303896,0.030344828239448063,0.20446769246412885,0.031752350595504755,0.5,1
2020-02-20,9608.4755859375,9643.216796875,9507.900390625,9629.3251953125,44925260237,50.77361537957439,9837.49854768128,9589.690036634523,-0.0025859164113087862,44.0,9341.705078125,-0.02776408239023185,-0.0025859164113087862,-0.02840905556173834,0.5077361537957439,-0.023280609459176094,0.0019589318561092917,0.025841138775088535,0.1394675881339097,0.030860075654844436,0.44,0
2020-02-21,9686.44140625,9723.0146484375,9589.7431640625,9611.7822265625,40930547513,52.1887774549676,9814.258987461082,9596.856804754188,0.008114275736580634,44.0,8820.5224609375,-0.08939495001268284,0.008114275736580634,-0.02496289145825259,0.5218877745496759,-0.013023660917689694,0.009334785682269642,0.022653477813610268,0.0273230810344287,0.028228617126924017,0.44,0
2020-02-22,9663.181640625,9698.2314453125,9600.728515625,9687.70703125,35838025154,51.71116207492158,9791.01631871707,9601.769755559433,-0.002401270461409255,43.0,8784.494140625,-0.09093148951127114,-0.002401270461409255,-0.0027823055525377782,0.5171116207492158,-0.013056323667614889,0.006395892281213067,0.01970955021578824,-0.11180443240434428,0.027666553491167957,0.43,0
2020-02-23,9924.515625,9937.404296875,9657.791015625,9663.318359375,41185185761,56.525244952203856,9811.554673529829,9625.676856999475,0.02704430011708836,46.0,8672.455078125,-0.1261583531312139,0.02704430011708836,-0.021443556745601833,0.5652524495220386,0.011513053254946781,0.0310460004465265,0.01931062296104291,0.014556697804966446,0.029504326439349856,0.46,0
2020-02-24,9650.1748046875,9951.74609375,9537.04296875,9921.5830078125,45080496648,50.79981429078218,9786.727001400239,9627.49151979118,-0.027642741538078885,46.0,8599.5087890625,-0.10887533509907477,-0.027642741538078885,0.0017426982252071177,0.5079981429078217,-0.013952795116610628,0.00235609502742129,0.016539664696844314,0.08639243530261607,0.030155191402499677,0.46,0
2020-02-25,9341.705078125,9652.7373046875,9305.021484375,9651.3125,42515259129,45.24985614171664,9718.262090127126,9606.322153741832,-0.031965195740564556,44.0,8562.4541015625,-0.08341635387176081,-0.031965195740564556,-0.02776408239023187,0.45249856141716643,-0.03874736125759293,-0.02754613798931982,0.011652736041305012,0.019025444317873987,0.029115528862507692,0.44,0
2020-02-26,8820.5224609375,9354.7783203125,8704.4267578125,9338.2900390625,50420050762,37.74634479591618,9580.148301021029,9548.11476908966,-0.05579095174048332,41.0,8869.669921875,0.005571944423377876,-0.05579095174048332,-0.08939495001268283,0.3774634479591618,-0.07929165772961677,-0.07620271914908394,0.0033549588275867404,0.17433562813158285,0.032859410022749155,0.41,1
2020-02-27,8784.494140625,8932.892578125,8577.19921875,8825.09375,45470195695,37.286053737870226,9457.73996865241,9491.550278092276,-0.0040846016176541156,39.0,8787.7861328125,0.00037475034245577866,-0.0040846016176541156,-0.09093148951127117,0.3728605373787023,-0.07118464138989611,-0.07449321941635323,-0.0035621482739132126,0.05816266629581535,0.032578840859181994,0.39,1
2020-02-28,8672.455078125,8890.4560546875,8492.9326171875,8788.728515625,44605450443,35.82309889255835,9336.92690857127,9430.876559576182,-0.012754184897438958,40.0,8755.24609375,0.0095464334930749,-0.012754184897438958,-0.12615835313121393,0.35823098892558347,-0.07116600964673792,-0.08041898085083876,-0.009961921398442541,0.02802725423956922,0.02600326693984289,0.4,1
2020-02-29,8599.5087890625,8775.6318359375,8599.5087890625,8671.212890625,35792392544,34.863964010987445,9223.477967108382,9369.293761760353,-0.008411261679117432,38.0,9078.7626953125,0.05573038158406804,-0.008411261679117432,-0.10887533509907477,0.34863964010987447,-0.0676500968800492,-0.08216040528472246,-0.01556315751856352,-0.19207557302522824,0.022943862788974898,0.38,2
2020-03-01,8562.4541015625,8726.796875,8471.212890625,8599.7587890625,35349164300,34.3606916663157,9121.78198779363,9309.527861004957,-0.0043089307085921735,39.0,9122.5458984375,0.06541253129436254,-0.0043089307085921735,-0.08341635387176083,0.343606916663157,-0.061317830987366206,-0.08024829729246985,-0.020167067118166293,-0.19987094722746981,0.02287963607039973,0.39,2
2020-03-02,8869.669921875,8921.30859375,8532.630859375,8563.2646484375,42857674409,41.85488113615159,9082.995516113842,9276.945791439775,0.03587941221856461,38.0,8909.9541015625,0.004541790172839278,0.03587941221856461,0.005571944423377939,0.4185488113615159,-0.023486259996538417,-0.04390193483081317,-0.02090669490651753,-0.013276677298565213,0.026830233727515227,0.38,1
2020-03-03,8787.7861328125,8901.5986328125,8704.990234375,8865.3876953125,42386715821,40.52674843113444,9037.578687913636,9240.711742652571,-0.009231886844013548,38.0,8108.1162109375,-0.07734256519252296,-0.009231886844013548,0.00037475034245582073,0.4052674843113444,-0.02763932284597359,-0.04901414766023826,-0.021982403563280628,-0.02310809244859961,0.02674613093270868,0.38,0
2020-03-04,8755.24609375,8843.3662109375,8712.431640625,8788.5419921875,34746706368,39.98376834334827,8994.142904196153,9204.751324215344,-0.0037028710724991143,40.0,7923.64453125,-0.09498323103603509,-0.0037028710724991143,0.009546433493074824,0.3998376834334827,-0.02656137588548846,-0.04883404392281743,-0.022880403022418894,-0.20487515334398002,0.023722336835627057,0.4,0
2020-03-05,9078.7626953125,9142.0546875,8757.25390625,8760.28515625,39698054597,47.51309732436925,9007.161333598668,9195.418833185504,0.03695117168590434,41.0,7909.7294921875,-0.12876569664372758,0.03695117168590434,0.055730381584067956,0.47513097324369247,0.007949381504552822,-0.0126863321822821,-0.020472966267445103,-0.06738079807754221,0.02753792564142984,0.41,0
2020-03-06,9122.5458984375,9167.6953125,9032.0791015625,9078.30859375,40826885651,48.45556182925582,9024.912805112335,9190.020838018985,0.004822595830994203,39.0,7911.43017578125,-0.13276071571902845,0.004822595830994203,0.06541253129436253,0.4845556182925582,0.010818175802192576,-0.0073421965815727575,-0.017966012897772776,-0.03575848914519876,0.026063280938838328,0.39,0
2020-03-07,8909.9541015625,9163.220703125,8890.744140625,9121.6005859375,36216930370,44.29639714296639,9007.226850720053,9169.275153837023,-0.02330399860322019,38.0,4970.7880859375,-0.44210845204401283,-0.02330399860322019,0.004541790172839288,0.4429639714296639,-0.010799411491426714,-0.028281521486025696,-0.017672967644466242,-0.14707846872441183,0.019923766751496787,0.38,0
2020-03-08,8108.1162109375,8914.34375,8105.2529296875,8908.2060546875,39973102121,32.845038541098646,8868.902136907353,9090.670787696317,-0.08999349283790192,33.0,5563.70703125,-0.3138101518889433,-0.08999349283790192,-0.07734256519252292,0.3284503854109865,-0.08578129674065205,-0.10808383668327826,-0.02439519106655097,-0.041191991310456325,0.035151129226373944,0.33,0
2020-03-09,7923.64453125,8177.79345703125,7690.09814453125,8111.146484375,46936995808,30.86795816957246,8723.477889883145,9004.224398329925,-0.022751484424786028,17.0,5200.3662109375,-0.3436901175427777,-0.022751484424786028,-0.09498323103603512,0.3086795816957246,-0.09168744034540777,-0.12000810056225919,-0.0311794215722625,0.11980845095678055,0.035460958635909944,0.17,0
2020-03-10,7909.7294921875,8136.9453125,7814.76318359375,7922.14697265625,42213940994,30.717753508130585,8598.2858286992,8923.150701578634,-0.0017561412564156553,16.0,5392.31494140625,-0.3182680966862039,-0.0017561412564156553,-0.1287656966437276,0.30717753508130585,-0.08008065214736748,-0.1135721275235041,-0.03640696921345965,0.019507039820995307,0.035523224798122345,0.16,0
2020-03-11,7911.43017578125,7950.814453125,7642.8125,7910.08984375,38682762605,30.76209835717664,8492.615728250285,8848.208440408456,0.00021501160000858555,17.0,5014.47998046875,-0.3661727564986602,0.00021501160000858555,-0.13276071571902848,0.3076209835717664,-0.0684342222780372,-0.10587208370330414,-0.04018810299882092,-0.06028129564223923,0.035600491430222606,0.17,0
2020-03-12,4970.7880859375,7929.1162109375,4860.35400390625,7913.6162109375,53980357243,14.034712582297487,7950.796090971395,8560.992117855052,-0.37169538560117077,14.0,5225.62939453125,0.051267787760798586,-0.37169538560117077,-0.44210845204401283,0.14034712582297487,-0.3748062421595584,-0.41936775346746547,-0.07127632153883368,0.2571886588063913,0.11819232370002207,0.14,2
2020-03-13,5563.70703125,5838.11474609375,4106.98095703125,5017.8310546875,74156772075,23.112980288540413,7583.551620245026,8338.971000328753,0.11928067241286833,10.0,5238.4384765625,-0.058462559739494734,0.11928067241286833,-0.31381015188894323,0.23112980288540413,-0.26634546583725427,-0.3328065260053479,-0.09058904030892367,0.5298691903764237,0.12934218745795834,0.1,0
2020-03-14,5200.3662109375,5625.2265625,5125.0693359375,5573.07763671875,36154506008,21.607134205671343,7216.907711120791,8106.481756670141,-0.06530552710121185,8.0,6191.19287109375,0.19053017036998784,-0.06530552710121185,-0.3436901175427777,0.21607134205671344,-0.27941905049941684,-0.35849282499666935,-0.10973614352704797,-0.18273205919809224,0.12914256210734915,0.08,2
2020-03-15,5392.31494140625,5836.64501953125,5169.283203125,5201.06689453125,33997889639,24.40901947863793,6936.2011311647075,7905.43236294689,0.036910617960911996,12.0,6198.7783203125,0.1495579148602055,0.036910617960911996,-0.3182680966862039,0.2440901947863793,-0.2225838265879716,-0.3178975299718877,-0.12260319072806336,-0.2313859623773167,0.12913983054725148,0.12,2
2020-03-16,5014.47998046875,5385.2294921875,4575.35791015625,5385.2294921875,45368026430,22.689892979600614,6640.55172336533,7691.287742022583,-0.07006915676163483,9.0,6185.06640625,0.23344124023640522,-0.07006915676163483,-0.3661727564986602,0.22689892979600615,-0.2448699762664467,-0.34803115568393894,-0.13661379653193684,0.053799852039985024,0.128333208264966,0.09,2
2020-03-17,5225.62939453125,5371.3486328125,4981.9091796875,5002.578125,38622642935,25.833565683513285,6422.871365083163,7508.646382949151,0.04210793838741411,8.0,5830.2548828125,0.11570385931195303,0.04210793838741411,0.051267787760798544,0.2583356568351329,-0.1864029189593479,-0.30405173875310487,-0.1446032963187076,-0.09335348015444499,0.1314099523741965,0.08,2
2020-03-18,5238.4384765625,5331.833984375,5069.3359375,5227.11376953125,37878801016,26.03006863376578,6240.650920695369,7340.482834327918,0.0024512036855608432,11.0,6416.31494140625,0.22485259111350311,0.0024512036855608432,-0.05846255973949477,0.2603006863376578,-0.16059421635158477,-0.2863632277614171,-0.14983100409814498,-0.10380854208093025,0.1309332450477972,0.11,2
2020-03-19,6191.19287109375,6329.73583984375,5236.96875,5245.41650390625,51000731797,38.98034557581046,6233.041989987428,7255.35024445872,0.18187755736638023,12.0,6734.8037109375,0.0878038935568994,0.18187755736638023,0.19053017036998776,0.3898034557581046,-0.006714076202423036,-0.14667208852911284,-0.14090405287492236,0.18605923720761705,0.14764699527124772,0.12,2
2020-03-20,6198.7783203125,6844.26171875,5865.78173828125,6191.65380859375,54442976103,39.07180473036829,6227.770656191285,7177.085657484926,0.001225199953657663,9.0,6681.06298828125,0.07780318040869003,0.001225199953657663,0.14955791486020553,0.3907180473036829,-0.004655331334329382,-0.13630983157518217,-0.13227026213677806,0.22958840629554866,0.14767432822248516,0.09,2
2020-03-21,6185.06640625,6378.13525390625,5932.8232421875,6206.521484375,42494390880,38.9581318088075,6221.200771584933,7103.602749986042,-0.00221203491300348,9.0,6716.4404296875,0.08591242009957199,-0.00221203491300348,0.23344124023640522,0.389581318088075,-0.0058082622087966,-0.12930570248144113,-0.12421893642670867,-0.026415143182926887,0.14765346686889663,0.09,2
2020-03-22,5830.2548828125,6359.697265625,5823.7138671875,6185.55810546875,40099664740,36.03653119402327,6161.0552502353285,7009.280685750965,-0.05736583896317804,11.0,6469.79833984375,0.10969391045263117,-0.05736583896317804,0.11570385931195304,0.3603653119402327,-0.053692160512631815,-0.16820924368677148,-0.12101461955147241,-0.08125370552524672,0.0812076848391186,0.11,2
2020-03-23,6416.31494140625,6443.9345703125,5785.00439453125,5831.37451171875,46491916000,43.56490349210462,6200.325971953932,6965.357297280986,0.10052048673231173,10.0,6242.19384765625,-0.027137242379788522,0.10052048673231173,0.2248525911135031,0.4356490349210462,0.034835099062421104,-0.07882472247174765,-0.10983375190612166,0.061948591642924156,0.07881218875256368,0.1,0
2020-03-24,6734.8037109375,6789.02294921875,6411.06640625,6436.642578125,48221910672,47.201752491949165,6282.553316412943,6948.279253848135,0.04963733427047878,12.0,5922.04296875,-0.1206806875258376,0.04963733427047878,0.08780389355689944,0.47201752491949167,0.07198512638851295,-0.03072351226994896,-0.09581162660762321,0.08318315611752178,0.07368765226094348,0.12,0
2020-03-25,6681.06298828125,6892.51123046875,6536.92626953125,6738.716796875,44590107888,46.655401182322606,6343.862496700375,6928.4854563987365,-0.007979552925792555,13.0,6429.841796875,-0.03760197918308781,-0.007979552925792555,0.07780318040869005,0.4665540118232261,0.05315381469195812,-0.03571090242947428,-0.08437961851510245,-0.0006155896810056224,0.07448197794252169,0.13,0
